Unnamed: 0,vehicleKey,type,fuelType,engineSize,mass,time,castAluminium,wroughtAluminium,mildSteel,highStrengthSteel,castIron,magnesium,catalyst,EESystem,powerElectronics,BMS,tractionMotorInduction,tractionMotorPM
89,V00000002,unknown,unknown,unknown, 1000-1249 kg,1981,0,0,0,0,0,0,86.0,0,0,0,0,0
90,V00000002,unknown,unknown,unknown, 1000-1249 kg,1982,0,0,0,0,0,0,86.0,0,0,0,0,0
91,V00000002,unknown,unknown,unknown, 1000-1249 kg,1983,0,0,0,0,0,0,86.0,0,0,0,0,0
92,V00000002,unknown,unknown,unknown, 1000-1249 kg,1984,0,0,0,0,0,0,86.0,0,0,0,0,0
93,V00000002,unknown,unknown,unknown, 1000-1249 kg,1985,0,0,0,0,0,0,86.0,0,0,0,0,0
94,V00000002,unknown,unknown,unknown, 1000-1249 kg,1986,0,0,0,0,0,0,86.0,0,0,0,0,0
95,V00000002,unknown,unknown,unknown, 1000-1249 kg,1987,0,0,0,0,0,0,86.0,0,0,0,0,0
96,V00000002,unknown,unknown,unknown, 1000-1249 kg,1988,0,0,0,0,0,0,86.0,0,0,0,0,0
97,V00000002,unknown,unknown,unknown, 1000-1249 kg,1989,0,0,0,0,0,0,86.0,0,0,0,0,0
98,V00000002,unknown,unknown,unknown, 1000-1249 kg,1990,0,0,0,0,0,0,86.0,0,0,0,0,0
99,V00000002,unknown,unknown,unknown, 1000-1249 kg,1991,0,0,0,0,0,0,86.0,0,0,0,0,0
100,V00000002,unknown,unknown,unknown, 1000-1249 kg,1992,0,0,0,0,0,0,86.0,0,0,0,0,0
101,V00000002,unknown,unknown,unknown, 1000-1249 kg,1993,0,0,0,0,0,0,86.0,0,0,0,0,0
102,V00000002,unknown,unknown,unknown, 1000-1249 kg,1994,0,0,0,0,0,0,86.0,0,0,0,0,0
103,V00000002,unknown,unknown,unknown, 1000-1249 kg,1995,0,0,0,0,0,0,86.0,0,0,0,0,0
104,V00000002,unknown,unknown,unknown, 1000-1249 kg,1996,0,0,0,0,0,0,86.0,0,0,0,0,0
105,V00000002,unknown,unknown,unknown, 1000-1249 kg,1997,0,0,0,0,0,0,86.0,0,0,0,0,0
106,V00000002,unknown,unknown,unknown, 1000-1249 kg,1998,0,0,0,0,0,0,86.0,0,0,0,0,0
107,V00000002,unknown,unknown,unknown, 1000-1249 kg,1999,0,0,0,0,0,0,86.0,0,0,0,0,0
108,V00000002,unknown,unknown,unknown, 1000-1249 kg,2000,0,0,0,0,0,0,86.0,0,0,0,0,0
109,V00000002,unknown,unknown,unknown, 1000-1249 kg,2001,0,0,0,0,0,0,86.0,0,0,0,0,0
110,V00000002,unknown,unknown,unknown, 1000-1249 kg,2002,0,0,0,0,0,0,86.0,0,0,0,0,0
111,V00000002,unknown,unknown,unknown, 1000-1249 kg,2003,0,0,0,0,0,0,86.0,0,0,0,0,0
112,V00000002,unknown,unknown,unknown, 1000-1249 kg,2004,0,0,0,0,0,0,86.0,0,0,0,0,0
113,V00000002,unknown,unknown,unknown, 1000-1249 kg,2005,0,0,0,0,0,0,86.0,0,0,0,0,0
114,V00000002,unknown,unknown,unknown, 1000-1249 kg,2006,0,0,0,0,0,0,86.0,0,0,0,0,0
