,outflow,outflow,outflow,outflow,outflow,inflow,inflow,inflow,inflow,inflow,info,info,info,info,info
,flow,product,component,material,element,flow,product,component,material,element,data,values_count,priority,priority_count,original row
54,WEEE_2RM_thermal2Smelter_other,,,otherOrUndefinedMaterials,Ag,WEEE_chem_thermal,,,otherOrUndefinedMaterials,Ag,[0.59 0.18],2,[2111],1,[541 538]
55,WEEE_2RM_thermal2Smelter_other,,,otherOrUndefinedMaterials,Al,WEEE_chem_thermal,,,otherOrUndefinedMaterials,Al,[0.06 0.53],2,[2111],1,[544 542]
56,WEEE_2RM_thermal2Smelter_other,,,otherOrUndefinedMaterials,Cu,WEEE_chem_thermal,,,otherOrUndefinedMaterials,Cu,[0.4  0.18],2,[2111],1,[540 545]
57,WEEE_2RM_thermal2Smelter_other,,,otherOrganics,Ag,WEEE_chem_thermal,,,otherOrganics,Ag,[0.59 0.18],2,[2111],1,[541 538]
58,WEEE_2RM_thermal2Smelter_other,,,otherOrganics,Al,WEEE_chem_thermal,,,otherOrganics,Al,[0.06 0.53],2,[2111],1,[544 542]
59,WEEE_2RM_thermal2Smelter_other,,,otherOrganics,Cu,WEEE_chem_thermal,,,otherOrganics,Cu,[0.4  0.18],2,[2111],1,[540 545]
60,WEEE_2RM_thermal2Smelter_other,,,plasticComposites,Ag,WEEE_chem_thermal,,,plasticComposites,Ag,[0.59 0.18],2,[2111],1,[541 538]
61,WEEE_2RM_thermal2Smelter_other,,,plasticComposites,Al,WEEE_chem_thermal,,,plasticComposites,Al,[0.06 0.53],2,[2111],1,[544 542]
62,WEEE_2RM_thermal2Smelter_other,,,plasticComposites,Cu,WEEE_chem_thermal,,,plasticComposites,Cu,[0.4  0.18],2,[2111],1,[540 545]
63,WEEE_2RM_thermal2Smelter_other,,,plastics,Ag,WEEE_chem_thermal,,,plastics,Ag,[0.59 0.18],2,[2111],1,[541 538]
64,WEEE_2RM_thermal2Smelter_other,,,plastics,Al,WEEE_chem_thermal,,,plastics,Al,[0.06 0.53],2,[2111],1,[544 542]
65,WEEE_2RM_thermal2Smelter_other,,,plastics,Cu,WEEE_chem_thermal,,,plastics,Cu,[0.4  0.18],2,[2111],1,[540 545]
66,WEEE_2RM_thermal2Smelter_other,,,polymerPA6GF30,Ag,WEEE_chem_thermal,,,polymerPA6GF30,Ag,[0.59 0.18],2,[2111],1,[541 538]
67,WEEE_2RM_thermal2Smelter_other,,,polymerPA6GF30,Al,WEEE_chem_thermal,,,polymerPA6GF30,Al,[0.06 0.53],2,[2111],1,[544 542]
68,WEEE_2RM_thermal2Smelter_other,,,polymerPA6GF30,Cu,WEEE_chem_thermal,,,polymerPA6GF30,Cu,[0.4  0.18],2,[2111],1,[540 545]
69,WEEE_2RM_thermal2Smelter_other,,,polymerPPGF30,Ag,WEEE_chem_thermal,,,polymerPPGF30,Ag,[0.59 0.18],2,[2111],1,[541 538]
70,WEEE_2RM_thermal2Smelter_other,,,polymerPPGF30,Al,WEEE_chem_thermal,,,polymerPPGF30,Al,[0.06 0.53],2,[2111],1,[544 542]
71,WEEE_2RM_thermal2Smelter_other,,,polymerPPGF30,Cu,WEEE_chem_thermal,,,polymerPPGF30,Cu,[0.4  0.18],2,[2111],1,[540 545]
72,WEEE_2RM_thermal2Smelter_other,,,polymerPPTF20,Ag,WEEE_chem_thermal,,,polymerPPTF20,Ag,[0.59 0.18],2,[2111],1,[541 538]
73,WEEE_2RM_thermal2Smelter_other,,,polymerPPTF20,Al,WEEE_chem_thermal,,,polymerPPTF20,Al,[0.06 0.53],2,[2111],1,[544 542]
74,WEEE_2RM_thermal2Smelter_other,,,polymerPPTF20,Cu,WEEE_chem_thermal,,,polymerPPTF20,Cu,[0.4  0.18],2,[2111],1,[540 545]
75,WEEE_2RM_thermal2Smelter_other,,,polymerPPTF30,Ag,WEEE_chem_thermal,,,polymerPPTF30,Ag,[0.59 0.18],2,[2111],1,[541 538]
76,WEEE_2RM_thermal2Smelter_other,,,polymerPPTF30,Al,WEEE_chem_thermal,,,polymerPPTF30,Al,[0.06 0.53],2,[2111],1,[544 542]
77,WEEE_2RM_thermal2Smelter_other,,,polymerPPTF30,Cu,WEEE_chem_thermal,,,polymerPPTF30,Cu,[0.4  0.18],2,[2111],1,[540 545]
78,WEEE_2RM_thermal2Smelter_other,,,reinforcedPlastics,Ag,WEEE_chem_thermal,,,reinforcedPlastics,Ag,[0.59 0.18],2,[2111],1,[541 538]
79,WEEE_2RM_thermal2Smelter_other,,,reinforcedPlastics,Al,WEEE_chem_thermal,,,reinforcedPlastics,Al,[0.06 0.53],2,[2111],1,[544 542]
80,WEEE_2RM_thermal2Smelter_other,,,reinforcedPlastics,Cu,WEEE_chem_thermal,,,reinforcedPlastics,Cu,[0.4  0.18],2,[2111],1,[540 545]
81,WEEE_2RM_thermal2Smelter_other,,,sand,Ag,WEEE_chem_thermal,,,sand,Ag,[0.59 0.18],2,[2111],1,[541 538]
82,WEEE_2RM_thermal2Smelter_other,,,sand,Al,WEEE_chem_thermal,,,sand,Al,[0.06 0.53],2,[2111],1,[544 542]
83,WEEE_2RM_thermal2Smelter_other,,,sand,Cu,WEEE_chem_thermal,,,sand,Cu,[0.4  0.18],2,[2111],1,[540 545]
84,WEEE_2RM_thermal2Smelter_other,,,steelAndSteelAlloys,Ag,WEEE_chem_thermal,,,steelAndSteelAlloys,Ag,[0.59 0.18],2,[2111],1,[541 538]
85,WEEE_2RM_thermal2Smelter_other,,,steelAndSteelAlloys,Al,WEEE_chem_thermal,,,steelAndSteelAlloys,Al,[0.06 0.53],2,[2111],1,[544 542]
86,WEEE_2RM_thermal2Smelter_other,,,steelAndSteelAlloys,Cu,WEEE_chem_thermal,,,steelAndSteelAlloys,Cu,[0.4  0.18],2,[2111],1,[540 545]
87,WEEE_2RM_thermal2Smelter_other,,,undefinedAndMixedMaterials,Ag,WEEE_chem_thermal,,,undefinedAndMixedMaterials,Ag,[0.59 0.18],2,[2111],1,[541 538]
88,WEEE_2RM_thermal2Smelter_other,,,undefinedAndMixedMaterials,Al,WEEE_chem_thermal,,,undefinedAndMixedMaterials,Al,[0.06 0.53],2,[2111],1,[544 542]
89,WEEE_2RM_thermal2Smelter_other,,,undefinedAndMixedMaterials,Cu,WEEE_chem_thermal,,,undefinedAndMixedMaterials,Cu,[0.4  0.18],2,[2111],1,[540 545]
90,WEEE_2RM_thermal2Smelter_other,,,wood,Ag,WEEE_chem_thermal,,,wood,Ag,[0.59 0.18],2,[2111],1,[541 538]
91,WEEE_2RM_thermal2Smelter_other,,,wood,Al,WEEE_chem_thermal,,,wood,Al,[0.06 0.53],2,[2111],1,[544 542]
92,WEEE_2RM_thermal2Smelter_other,,,wood,Cu,WEEE_chem_thermal,,,wood,Cu,[0.4  0.18],2,[2111],1,[540 545]
93,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,,Ag,WEEE_chem_thermal,,ComponentShadowWEEE,,Ag,[0.59 0.18],2,[2111],1,[541 538]
94,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,,Al,WEEE_chem_thermal,,ComponentShadowWEEE,,Al,[0.06 0.53],2,[2111],1,[544 542]
95,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,,Cu,WEEE_chem_thermal,,ComponentShadowWEEE,,Cu,[0.4  0.18],2,[2111],1,[540 545]
96,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,AlAndAlAlloys,Ag,WEEE_chem_thermal,,ComponentShadowWEEE,AlAndAlAlloys,Ag,[0.59 0.18],2,[2111],1,[541 538]
97,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,AlAndAlAlloys,Al,WEEE_chem_thermal,,ComponentShadowWEEE,AlAndAlAlloys,Al,[0.06 0.53],2,[2111],1,[544 542]
98,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,AlAndAlAlloys,Cu,WEEE_chem_thermal,,ComponentShadowWEEE,AlAndAlAlloys,Cu,[0.4  0.18],2,[2111],1,[540 545]
99,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,CuAndCuAlloys,Ag,WEEE_chem_thermal,,ComponentShadowWEEE,CuAndCuAlloys,Ag,[0.59 0.18],2,[2111],1,[541 538]
100,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,CuAndCuAlloys,Al,WEEE_chem_thermal,,ComponentShadowWEEE,CuAndCuAlloys,Al,[0.06 0.53],2,[2111],1,[544 542]
101,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,CuAndCuAlloys,Cu,WEEE_chem_thermal,,ComponentShadowWEEE,CuAndCuAlloys,Cu,[0.4  0.18],2,[2111],1,[540 545]
102,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,MaterialShadowWEEE,Ag,WEEE_chem_thermal,,ComponentShadowWEEE,MaterialShadowWEEE,Ag,[0.59 0.18],2,[2111],1,[541 538]
103,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,MaterialShadowWEEE,Al,WEEE_chem_thermal,,ComponentShadowWEEE,MaterialShadowWEEE,Al,[0.06 0.53],2,[2111],1,[544 542]
104,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,MaterialShadowWEEE,Cu,WEEE_chem_thermal,,ComponentShadowWEEE,MaterialShadowWEEE,Cu,[0.4  0.18],2,[2111],1,[540 545]
